City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Busselton,AU,-33.65,115.3333,71.01,93,100,1.99,light rain
80,Teahupoo,PF,-17.8333,-149.2667,87.8,66,40,5.75,scattered clouds
81,Tiznit,MA,29.5833,-9.5,60.01,48,0,5.46,clear sky
82,Mbini,GQ,1.574,9.6134,79.72,85,73,4.47,broken clouds
83,Narsaq,GL,60.9167,-46.05,24.8,80,90,2.3,light snow
84,Billings,US,45.7833,-108.5007,48.0,25,40,6.91,scattered clouds
85,Freetown,SL,8.484,-13.2299,78.82,84,48,7.67,scattered clouds
86,Port Alfred,ZA,-33.5906,26.891,68.0,92,83,4.0,broken clouds
87,Saldanha,ZA,-33.0117,17.9442,65.26,95,88,3.78,light rain
88,Tara,RU,56.8944,74.371,15.13,97,100,3.83,light snow
89,Traverse City,US,44.7631,-85.6206,60.8,51,90,10.36,overcast clouds
90,Bluff,NZ,-46.6,168.3333,55.99,71,12,1.01,few clouds
91,Grand Gaube,MU,-20.0064,57.6608,77.0,80,6,3.0,clear sky
92,Matay,EG,28.419,30.7792,67.53,24,0,12.15,clear sky
93,Hambantota,LK,6.1241,81.1185,75.97,85,100,5.84,overcast clouds
94,Sulangan,PH,11.1373,123.7228,80.6,79,100,23.69,overcast clouds
95,Miri,MY,4.4148,114.0089,77.0,100,40,3.44,scattered clouds
96,Chuy,UY,-33.6971,-53.4616,66.99,82,17,6.22,few clouds
97,Shikhazany,RU,55.5605,47.393,-0.4,60,0,6.71,clear sky
98,Camacha,PT,33.0833,-16.3333,60.8,67,75,10.36,broken clouds
99,Shimoda,JP,34.6667,138.95,43.0,60,62,1.01,broken clouds
100,Barinas,VE,8.6226,-70.2075,89.6,35,100,2.3,overcast clouds
101,Hofn,IS,64.2539,-15.2082,40.75,67,78,5.59,broken clouds
102,Airai,TL,-8.9266,125.4092,63.48,100,100,0.98,overcast clouds
103,Weston,US,26.1004,-80.3998,73.0,68,90,16.11,overcast clouds
104,Port Hardy,CA,50.6996,-127.4199,46.4,61,20,11.5,few clouds
105,Avarua,CK,-21.2078,-159.775,82.4,78,20,3.44,moderate rain
106,Sakakah,SA,29.9697,40.2064,69.8,21,0,18.41,clear sky
107,Namibe,AO,-15.1961,12.1522,75.49,71,69,5.53,broken clouds
108,Ponta Delgada,PT,37.7333,-25.6667,60.8,94,40,14.97,scattered clouds
109,Candelaria,PH,13.9311,121.4233,74.39,82,38,6.73,scattered clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,81.0,89,75,9.22,light rain
111,Nassau,US,40.7507,-73.5829,46.0,76,2,5.01,clear sky
112,Gusau,NG,12.1628,6.6614,78.53,16,68,5.61,broken clouds
113,Muros,ES,42.7762,-9.0603,55.99,90,100,11.99,overcast clouds
114,Qaqortoq,GL,60.7167,-46.0333,24.8,80,90,2.3,light snow
115,Severo-Kurilsk,RU,50.6789,156.125,31.57,98,100,30.27,snow
116,Pafos,CY,34.7667,32.4167,51.8,87,0,2.3,clear sky
117,Barrow,US,71.2906,-156.7887,-5.8,71,40,17.27,snow
118,Hermanus,ZA,-34.4187,19.2345,64.0,95,99,1.01,light rain
119,Provideniya,RU,64.3833,-173.3,-9.4,70,0,4.47,clear sky
120,Akalgarh,IN,29.8167,75.8833,63.32,35,0,3.98,clear sky
121,Vaini,TO,-21.2,-175.2,82.4,65,20,4.61,few clouds
122,Henties Bay,NA,-22.116,14.2845,63.0,90,0,1.01,clear sky
123,Lompoc,US,34.6391,-120.4579,55.4,58,90,9.22,overcast clouds
124,Butaritari,KI,3.0707,172.7902,81.43,77,90,11.32,light rain
125,Sola,VU,-13.8833,167.55,80.6,89,90,2.3,overcast clouds
126,Longyearbyen,SJ,78.2186,15.6401,23.0,86,75,8.05,broken clouds
127,Ranong,TH,9.9658,98.6348,74.77,88,10,3.96,clear sky
128,Metro,ID,-5.1131,105.3067,72.25,96,42,4.56,moderate rain
129,Dir,PK,35.2058,71.8756,44.42,72,100,4.56,overcast clouds
130,Port Elizabeth,ZA,-33.918,25.5701,68.0,88,75,12.66,light rain
131,Grindavik,IS,63.8424,-22.4338,26.6,80,75,33.38,broken clouds
132,Chara,RU,56.9064,118.2631,1.89,82,46,1.19,scattered clouds
133,Eyl,SO,7.9803,49.8164,75.78,83,28,13.6,scattered clouds
134,Koslan,RU,63.4564,48.8989,7.72,95,100,4.85,overcast clouds
135,Hayden,US,47.766,-116.7866,46.99,42,75,5.75,broken clouds
136,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,14.97,scattered clouds
137,Itaueira,BR,-7.6033,-43.0256,74.8,88,54,2.15,broken clouds
138,Gweta,BW,-20.1833,25.2333,78.15,41,12,4.32,few clouds
139,Olafsvik,IS,64.8945,-23.7142,27.55,90,100,23.04,light snow
140,Toora-Khem,RU,52.4675,96.11,11.62,94,79,2.82,broken clouds
141,Kaitangata,NZ,-46.2817,169.8464,55.13,58,1,3.98,clear sky
142,Dzialdowo,PL,53.2396,20.17,19.4,79,0,8.52,clear sky
143,Mandera,KE,3.9366,41.867,77.94,65,0,10.49,clear sky
144,Iqaluit,CA,63.7506,-68.5145,-11.2,64,20,8.05,few clouds
145,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,90,5.75,mist
146,Thompson,CA,55.7435,-97.8558,26.6,86,90,5.75,snow
147,Saint Anthony,US,45.0205,-93.218,42.8,93,90,10.36,light rain
148,Katsuura,JP,35.1333,140.3,46.99,49,20,6.91,few clouds
149,Manta,EC,-0.95,-80.7333,80.6,83,75,4.61,light rain
150,Bolobo,CD,-2.1667,16.2333,76.69,74,92,1.41,overcast clouds
