City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Mayumba,GA,2021-03-04 06:05:42,-3.432,10.6554,79.95,88,97,6.38
173,Mahon,ES,2021-03-04 06:05:43,39.8885,4.2658,53.6,87,40,8.05
174,Samdrup Jongkhar,BT,2021-03-04 06:05:44,26.9167,91.6167,75.67,24,22,5.82
175,Sayyan,YE,2021-03-04 06:05:46,15.1718,44.3244,60.8,31,0,6.67
176,Rocha,UY,2021-03-04 06:05:47,-34.4833,-54.3333,68.34,94,87,6.38
177,Tasiilaq,GL,2021-03-04 06:05:48,65.6145,-37.6368,33.8,80,90,9.22
178,Broken Hill,AU,2021-03-04 06:05:49,-31.95,141.4333,80.6,17,0,16.11
179,Long Beach,US,2021-03-04 06:05:50,33.767,-118.1892,51.01,81,1,4.61
180,Qaanaaq,GL,2021-03-04 06:05:51,77.484,-69.3632,-21.82,77,77,10.18
181,Sambava,MG,2021-03-04 06:05:52,-14.2667,50.1667,82.76,70,50,2.77
182,Teahupoo,PF,2021-03-04 06:05:53,-17.8333,-149.2667,80.6,78,75,3.44
183,Visnes,NO,2021-03-04 06:05:55,59.3556,5.2242,33.8,75,0,19.57
184,San Rafael,AR,2021-03-04 06:05:46,-34.6177,-68.3301,76.48,40,0,10.78
185,Hit,IQ,2021-03-04 06:05:57,33.6416,42.8251,65.48,30,10,14.81
186,Mount Vernon,US,2021-03-04 06:05:58,40.9126,-73.8371,44.6,53,75,6.91
187,Leninskoye,KZ,2021-03-04 06:05:59,41.7589,69.3864,51.8,71,20,6.91
188,Tuktoyaktuk,CA,2021-03-04 06:06:00,69.4541,-133.0374,-25.6,68,1,4.07
189,Nagua,DO,2021-03-04 06:06:02,19.3832,-69.8474,66.99,89,0,4.29
190,Sao Felix Do Xingu,BR,2021-03-04 06:06:03,-6.6447,-51.995,69.78,97,96,0.72
191,Nelson Bay,AU,2021-03-04 06:06:04,-32.7167,152.15,77.0,53,20,11.5
192,Wenling,CN,2021-03-04 06:06:05,28.3669,121.36,68.0,83,63,5.35
